book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Pascal: A New Introduction to Computer Science,Terrence W. Pratt,3.67,6,0,813,1990,1,Unknown Binding,English,ISBN0136542867(ISBN13:9780136542865),https://www.goodreads.com/book/show/2007698.Pascal?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=315
Beginning Java Data Structures and Algorithms: Sharpen your problem solving skills by learning core computer science concepts in a pain-free manner,James Cutajar,4.0,1,0,204,,2,Kindle Edition,,,https://www.goodreads.com/book/show/41031384-beginning-java-data-structures-and-algorithms?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=316
The Oxbridge Formula: Get into Oxford & Cambridge for: Maths; Computer Science; Physics; Engineering; Natural Sciences; Economics; PPE... and more!,"['Paarul Shah', 'Jessica Grindlay', 'Chris Parker']",4.22,9,4,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/53604993-the-oxbridge-formula?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=317
Computer Science K-12: Imagining the possibilities!,Doug Bergman,5.0,2,0,173,,1,Kindle Edition,,,https://www.goodreads.com/book/show/40627226-computer-science-k-12?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=318
"Theoretical Computer Science: Introduction to Automata, Computability, Complexity, Algorithmics, Randomization, Communication, and Cryptography",Juraj Hromkovic,3.2,5,0,313,2003,4,Hardcover,English,ISBN3540140158(ISBN13:9783540140153),https://www.goodreads.com/book/show/83934.Theoretical_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=319
S. Chand’s Computer Science for Class 11,Dheeraj Mehrotra,4.2,5,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/42198876-s-chand-s-computer-science-for-class-11?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=320
GATE Overflow for GATE Computer Science 2020 (3 Volumes Combined),Arjun Suresh,5.0,1,0,,,1,Paperback,,ISBN9353821657(ISBN13:9789353821654),https://www.goodreads.com/book/show/49376814-gate-overflow-for-gate-computer-science-2020?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=321
"Computer Science: Reflections on the Field, Reflections from the Field",Committee on the Fundamentals of Computer Science Challenges and Opportunities National,0.0,0,0,194,2009,1,ebook,,ISBN1280208635(ISBN13:9781280208638),https://www.goodreads.com/book/show/23455922-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=322
"Python Programming: 2 Books in 1: Python for Data Analysis and Science with Big Data Analysis, Statistics and Machine Learning.",Computer Science Academy,0.0,0,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/53692778-python-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=323
Click Start Level 2 Student's Book: Computer Science for Schools,Ayesha Soldier,0.0,0,1,84,,1,Paperback,,ISBN1107676681(ISBN13:9781107676688),https://www.goodreads.com/book/show/34595439-click-start-level-2-student-s-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=324
Probability with R: An Introduction with Computer Science Applications,Jane Horgan,4.0,4,1,393,2008,6,Hardcover,English,ISBN0470280735(ISBN13:9780470280737),https://www.goodreads.com/book/show/6218269-probability-with-r?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=327
"Combinatorics And Theoretical Computer Science: Proceedings Of The Capital City Conference On Combinatorics And Theoretical Computer Science, Washington, Dc, 1989","['D. C.) Capital City Conference on Combinatorics and Theoretical Computer Science (1989 : Washington', 'Rodica Simion', 'R. Simion']",0.0,0,0,296,1992,1,Unknown Binding,English,ISBN0444893601(ISBN13:9780444893604),https://www.goodreads.com/book/show/2061792.Combinatorics_And_Theoretical_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=329
Invitation to Computer Science: Java Version,"['G. Michael Schneider', 'Judith L. Gersting']",3.63,8,0,720,2000,5,Paperback,English,ISBN1423901436(ISBN13:9781423901433),https://www.goodreads.com/book/show/1786679.Invitation_to_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=330
Introduction to Computer Science with C++,"['Kenneth A. Lambert', 'Thomas L. Naps', 'Douglas W. Nance']",4.5,4,0,1032,2000,4,Hardcover,English,ISBN053436893X(ISBN13:9780534368937),https://www.goodreads.com/book/show/1848918.Introduction_to_Computer_Science_with_C_?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=331
Linked Open Data -- Creating Knowledge Out of Interlinked Data: Results of the LOD2 Project (Lecture Notes in Computer Science Book 8661),"['Sören Auer', 'Volha Bryl', 'Sebastian Tramp']",3.0,1,0,218,,1,Kindle Edition,,,https://www.goodreads.com/book/show/37507392-linked-open-data----creating-knowledge-out-of-interlinked-data?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=332
Introductory Theory Of Computer Science (Computer Science Series),V.E. Krishnamurthy,4.33,3,1,223,1983,1,Hardcover,,ISBN033336581X(ISBN13:9780333365816),https://www.goodreads.com/book/show/6870298-introductory-theory-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=333
Cambridge Igcse(r) and O Level Computer Science Programming Book for Python,Chris Roffey,0.0,0,0,202,,1,Paperback,,ISBN1316617823(ISBN13:9781316617823),https://www.goodreads.com/book/show/34341337-cambridge-igcse-r-and-o-level-computer-science-programming-book-for-pyt?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=334
C Programming for Engineering and Computer Science (B.E.S.T. Series),"['H.H. Andrew Tan', ""Tim B D'Orazio""]",4.14,7,0,600,1998,1,Paperback,English,ISBN0079136788(ISBN13:9780079136787),https://www.goodreads.com/book/show/1990451.C_Programming_for_Engineering_and_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=335
"Computer Science: An Overview, Global Edition",Glenn Brookshear,5.0,2,0,736,,2,Paperback,,ISBN1292263423(ISBN13:9781292263427),https://www.goodreads.com/book/show/44779750-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=336
Textbook of Computer Science: for Class XI,Bhatnagar Seema,5.0,1,0,604,,1,Paperback,,ISBN8120329937,https://www.goodreads.com/book/show/27110788-textbook-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=337
"Proceedings of Inmic 2004: 8th International Multitopic Conference: December 24-26, 2004, National University of Computer and Emerging Sciences, Lahore, Pakistan",National University of Computer and Emerging Sciences,0.0,0,0,751,2004,1,Hardcover,,ISBN0780386809(ISBN13:9780780386808),https://www.goodreads.com/book/show/22259438-proceedings-of-inmic-2004?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=338
Experiments In Computer Science   C Version,J. Glenn Brookshear,3.71,7,0,,,1,,,ISBN0805346295(ISBN13:9780805346299),https://www.goodreads.com/book/show/1653110.Experiments_In_Computer_Science_C_Version?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=340
Concise Encyclopedia of Computer Science,Edwin D. Reilly,3.2,5,0,902,2004,1,Paperback,English,ISBN0470090952(ISBN13:9780470090954),https://www.goodreads.com/book/show/2646421-concise-encyclopedia-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=341
Women in Computer Science,"Tammy M. ""Gagne"" Proctor",3.86,7,1,48,,2,Hardcover,,ISBN1680782649(ISBN13:9781680782646),https://www.goodreads.com/book/show/29886115-women-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=342
Question Bank in Computer Science,"['Nitin Upadhyay', 'M. Ramaswamy', 'R. Balagurswamy']",4.67,9,0,530,,1,Paperback,,ISBN8185749388(ISBN13:9788185749389),https://www.goodreads.com/book/show/30892009-question-bank-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=343
Cybersecurity : learn information technology SECURITY: how to protect your electronic data from hacker attacks while you are browsing the internet with ... pc or television (Computer science Book 4),Alan Grid,4.63,8,6,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/54926686-cybersecurity?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=344
"Computer Science: The Hardware, Software and Heart of It","['Alfred V. Aho', 'Edward K. Blum']",3.75,4,1,470,2011,5,Hardcover,English,ISBN146141167X(ISBN13:9781461411673),https://www.goodreads.com/book/show/14377896-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=345
Classic Computer Science Problems in Java,David Kopec,3.0,3,1,264,,1,Paperback,,ISBN1617297607(ISBN13:9781617297601),https://www.goodreads.com/book/show/54590688-classic-computer-science-problems-in-java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=346
Essential Concepts of Computer Science - Fundamentals of Computer Especially for Beginners,HARIPRASATH P,4.0,4,0,91,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/33111598-essential-concepts-of-computer-science---fundamentals-of-computer-especi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=347
Cognitive Dynamics of Computer Science,Szabolcs de Gyurky,3.25,4,1,292,2005,4,Hardcover,English,ISBN0471970476(ISBN13:9780471970477),https://www.goodreads.com/book/show/1610444.Cognitive_Dynamics_of_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=349
A Laboratory Course for Programming in Java (Jones and Bartlett Books in Computer Science),Nell B. Dale,2.0,1,0,311,2000,4,Paperback,English,ISBN0763724637(ISBN13:9780763724634),https://www.goodreads.com/book/show/3208622-a-laboratory-course-for-programming-in-java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=350
Great Jobs for Computer Science Majors,"['Jan Goldberg', 'Mark Rowh']",3.5,6,0,224,1997,5,Paperback,English,ISBN0071390391(ISBN13:9780071390392),https://www.goodreads.com/book/show/3397376-great-jobs-for-computer-science-majors?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=352
Comprehensive CBSE Computer Science with C++ XII,J.B. Dixit,1.0,2,1,751,,1,Paperback,,ISBN8131806685(ISBN13:9788131806685),https://www.goodreads.com/book/show/31942447-comprehensive-cbse-computer-science-with-c-xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=353
Modern Software Development Using Java: A Text for the Second Course in Computer Science,"['Paul T. Tymann', 'G. Michael Schneider']",2.5,8,0,688,2003,1,Paperback,English,ISBN0534384498(ISBN13:9780534384494),https://www.goodreads.com/book/show/2146898.Modern_Software_Development_Using_Java?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=354
Introduction to Computer Science Using Python: A Computational Problem-Solving Focus,Charles Dierbach,3.5,20,3,580,2012,4,Kindle Edition,English,ISBN0470555157(ISBN13:9780470555156),https://www.goodreads.com/book/show/19825917-introduction-to-computer-science-using-python?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=355
GATE Computer Science and Information Technology | GATE 2020 | By Pearson,Trishna Knowledge Systems,4.0,1,0,792,,2,Paperback,,ISBN9353433940(ISBN13:9789353433949),https://www.goodreads.com/book/show/49781009-gate-computer-science-and-information-technology-gate-2020-by-pearso?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=356
Elst Computer Science 5th Ed,C.S. French,4.33,3,0,,2002,1,Paperback,,ISBN082646761X(ISBN13:9780826467614),https://www.goodreads.com/book/show/21957750-elst-computer-science-5th-ed?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=357
Digital Circuit Design for Computer Science Students: An Introductory Textbook,Niklaus Wirth,0.0,0,0,204,1995,3,Paperback,English,ISBN354058577X(ISBN13:9783540585770),https://www.goodreads.com/book/show/2692295-digital-circuit-design-for-computer-science-students?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=358
Keyboard Computer Science Class 4,"['Sangeeta Panchal', 'Alka Sabharwal']",0.0,0,0,,,1,Paperback,,ISBN0195696271(ISBN13:9780195696271),https://www.goodreads.com/book/show/29490063-keyboard-computer-science-class-4?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=359
"Reading Technical Books: How To Get The Most Out Of Your Readings In Physics, Chemistry, Computer Science And Data Processing, Health Science, Engineering And Technology",Anne Eisenberg,5.0,4,0,220,1978,2,Unknown Binding,English,ISBN0137534353(ISBN13:9780137534357),https://www.goodreads.com/book/show/4010951-reading-technical-books?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=360
Physics for computer science students,Narciso Garcia,3.0,1,0,,,1,,,ISBN9624300763(ISBN13:9789624300765),https://www.goodreads.com/book/show/29931030-physics-for-computer-science-students?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=362
Probability and Statistics for Computer Science,David A. Forsyth,4.5,2,0,367,,3,Kindle Edition,,,https://www.goodreads.com/book/show/37661120-probability-and-statistics-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=363
The Art Of Programming: Computer Science With C,Steven C. Lawlor,4.0,1,0,567,1996,1,Hardcover,English,ISBN0314068147(ISBN13:9780314068149),https://www.goodreads.com/book/show/517265.The_Art_Of_Programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=364
Phase Change: The Computer Revolution In Science And Mathematics,Douglas S. Robertson,4.22,9,1,,2003,1,Hardcover,English,ISBN0195157486(ISBN13:9780195157482),https://www.goodreads.com/book/show/1126598.Phase_Change?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=365
Encyclopedia of Computer Science,"['Anthony Ralston', 'Chester L. Meek']",3.6,5,2,1523,1976,7,Hardcover,,ISBN0884053210(ISBN13:9780884053217),https://www.goodreads.com/book/show/12916070-encyclopedia-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=366
Understanding Practical Workbook for ISC Computer Science Class - XII,"['V.K. Pandey', 'D.K. Dey']",3.25,4,1,,,1,Paperback,,ISBN8182964652(ISBN13:9788182964655),https://www.goodreads.com/book/show/37373908-understanding-practical-workbook-for-isc-computer-science-class---xii?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=367
"Barron's AP Computer Science, 2007-2008: Levels A and AB",Roselyn Teukolsky,3.94,18,2,736,2006,6,Paperback,English,ISBN0764134876(ISBN13:9780764134876),https://www.goodreads.com/book/show/241627.Barron_s_AP_Computer_Science_2007_2008?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=368
Digital Signal Processing: A Computer Science Perspective,Jonathan (Y) Stein,4.33,3,0,880,2000,3,Hardcover,English,ISBN0471295469(ISBN13:9780471295464),https://www.goodreads.com/book/show/5693399-digital-signal-processing?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=369
Programming in Modula-2 (Texts and Monographs in Computer Science),Niklaus Wirth,3.4,10,0,185,1985,10,Hardcover,,ISBN0387501509(ISBN13:9780387501505),https://www.goodreads.com/book/show/2692297-programming-in-modula-2?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=370
"Symbolic Computing (Computer Science Logo Style, #1)",Brian Harvey,3.5,2,1,319,1997,2,Paperback,English,ISBN0262581485(ISBN13:9780262581486),https://www.goodreads.com/book/show/6136601-symbolic-computing?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=371
OCR as and a Level Computer Science,"['P. Heathcote', 'R.S.U. Heathcote']",4.1,10,2,,,1,Paperback,,ISBN1910523054(ISBN13:9781910523056),https://www.goodreads.com/book/show/32479413-ocr-as-and-a-level-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=373
C++ Programming : A step-by-step beginner’s guide to learn the fundamentals OF A multi-paradigm programming language AND BEGIN TO manage data including ... first program (computer science Book 3),Alan Grid,4.22,9,6,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/54867998-c-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=375
Fundamental Structures Of Computer Science,"['William A. Wulf', 'Mary    Shaw', 'Paul M. Hilfinger', 'Lawrence Flon']",4.0,3,0,621,1981,2,Hardcover,English,ISBN0201087251(ISBN13:9780201087253),https://www.goodreads.com/book/show/10020000-fundamental-structures-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=376
How to Program: Computer Science Concepts and Python Exercises,John Keyser,5.0,2,0,,,2,DVD,,ISBN162997272X(ISBN13:9781629972725),https://www.goodreads.com/book/show/41010514-how-to-program?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=378
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",Clifford A. Shaffer,4.0,1,0,624,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/27991425-data-structures-and-algorithm-analysis-in-c-third-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=379
Click Start Level 5 Teacher's Manual: Computer Science for Schools,"['Anjna Virmani', 'Shalini Harisukh']",0.0,0,0,32,,1,Paperback,,ISBN1107675952,https://www.goodreads.com/book/show/29013546-click-start-level-5-teacher-s-manual?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=380
Essential Discrete Math for Computer Science,"['Todd Feil', 'Joan Krone']",2.67,3,0,216,2002,1,Paperback,,ISBN0130186619(ISBN13:9780130186614),https://www.goodreads.com/book/show/28784.Essential_Discrete_Math_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=381
